average_rating,budget,runtime_minutes,release_year,gross,num_votes
7.5,90000000,150,1997,171120329,287503
7,15000000,105,1997,44862187,102797
7.6,27000000,100,1998,27200316,208972
7.5,57000000,144,1997,152944660,393396
6.2,90000000,111,1997,140807547,70197
5.4,71500000,85,1998,294456605,100687
7.7,35000000,127,1997,124909762,324583
6.9,30000000,117,1997,43312294,77542
6.6,60000000,96,1997,26673829,192700
7.3,80000000,138,1997,245676146,393548
7.6,93000000,126,1997,263920180,494861
5.3,80000000,93,1997,177977226,93299
7.2,3500000,91,1997,257938649,112303
6,50000000,125,1997,48169156,85390
7.7,50000000,129,1997,109423648,418540
5.5,55000000,92,1997,174463257,82989
8.3,10000000,126,1997,225933435,1029539
7.3,15000000,107,1997,28084357,98266
7.1,3000000,102,1996,222559,53958
7.3,85000000,93,1997,252712101,248217
4.6,32000000,102,1997,79082515,123120
5.8,17000000,101,1997,125586134,155615
7.3,18000000,112,1997,8038061,58885
6.4,60000000,124,1997,159330280,122248
7.5,12000000,154,1997,39675292,365708
8.2,35000000,138,1997,126216940,604260
6.9,45000000,86,1997,302710615,326533
6.8,62000000,137,1997,1071255,64578
6.5,73000000,129,1997,618638999,436422
7.2,90000000,178,1998,142940100,257781
7.3,90000000,98,1997,589390539,598125
6,30000000,105,1997,25480803,54600
3.6,30000000,95,1997,51376861,57337
6.5,38000000,98,1997,122417389,59345
6.3,38000000,105,1997,299288605,151068
7.7,50000000,139,1997,314178011,312819
6,50000000,124,1997,110463140,60735
6.1,80000000,177,1997,17626234,77010
6.2,68000000,116,1997,118063304,71340
6.3,24000000,120,1997,172363301,205034
7.1,70000000,136,1997,131457682,152381
6.7,6000000,99,1998,11841544,70505
6,60000000,99,1998,14594226,58801
5.2,40000000,96,1997,87840042,71370
6.1,80000000,134,1998,37020277,110881
7.1,75000000,114,1999,107752036,178250
7.3,105000000,129,1997,121214377,311677
7.5,30000000,121,1998,16316273,74542
7.9,200000000,194,1997,2264743305,1252486
6.5,110000000,119,1997,333011068,201921
7.9,90000000,92,1999,497375381,607548
5.9,25000000,93,1997,36400360,52178
5.5,90000000,104,1997,122823468,80272
6.1,23000000,90,1998,185991646,174289
8.5,20000000,119,1998,23875127,1164516
6.5,105000000,83,1998,171757863,161608
6.7,140000000,151,1998,553709788,443251
7.7,13000000,113,1999,23106667,348531
7.1,45000000,120,1998,131211377,291981
7.1,80000000,124,1999,415933406,451505
7.2,120000000,95,1998,363258859,308108
7.1,45000000,84,2000,224874960,203928
7.1,26000000,121,1998,98005666,80370
6.7,55000000,114,1998,198685114,125838
6.2,75000000,120,1998,349464664,186973
7.3,10000000,130,1999,31429330,225457
6.6,160000000,102,1999,61698899,130161
7.5,65000000,159,1999,162257226,364210
5.7,100000000,106,2005,333535934,339864
7.5,18500000,118,1998,10680275,296644
7.3,12000000,123,2002,56298474,93921
6.7,35000000,122,2001,74558115,162161
